板块名称,问题,答案
security_duty,什么是一级勤务等级？什么情况下启动？,一级勤务是最高安保等级，通常在重大节日、重要领导人视察或发生特别重大安全事件时启动。一级勤务要求全员在岗、双倍巡逻频次（每30分钟一次），所有出入口增设双人双岗，指挥中心主任24小时值守，各岗位每15分钟通过对讲机报告一次情况，严禁任何人员请假外出。
security_duty,二级勤务和一级勤务有什么区别？,二级勤务属于较高等级，通常在重要活动期间或接到上级预警通知时启动。与一级勤务的主要区别：巡逻频次为每小时一次（一级为每30分钟）；出入口保持正常岗位配置但加强检查力度；允许不超过10%的人员轮休；指挥中心主任在岗带班但不要求24小时值守；各岗位每30分钟报告一次情况。
security_duty,三级勤务等级是什么标准？日常是怎么安排的？,三级勤务是日常基础勤务等级，适用于正常工作期间。标准要求：按照编制人数的80%在岗值班，巡逻频次为每2小时一次，各出入口设置标准岗值守，指挥中心主任每日带班检查。三级勤务状态下，队员可按照排班表正常轮休，但须保持通讯畅通，遇有紧急情况须在30分钟内返岗。
security_duty,勤务等级调整由谁决定？调整流程是怎样的？,勤务等级调整由项目经理或客户单位安全主管部门提出，报公司运营管理中心审批。流程为：首先由需求方填写《勤务等级调整申请表》，说明调整原因和预计持续时间；然后运营管理中心在2小时内完成审核；批准后由项目经理下达《勤务等级调整通知单》，各中队在接到通知后15分钟内完成岗位调整；等级解除时同样需要书面通知。
security_duty,门卫对进入人员的检查流程是什么？,门卫对进入人员应按照以下步骤检查：第一步，礼貌问好并询问来访事由；第二步，请来访人员出示有效身份证件并进行实名登记，记录姓名、单位、事由、进出时间；第三步，通过对讲机与被访人员确认；第四步，使用手持金属探测器对来访人员进行检查；第五步，检查携带物品，必要时开包检查；第六步，发放访客证并指引路线。整个过程不超过3分钟。
security_duty,车辆出入检查有哪些具体要求？,车辆出入检查要求如下：驶入车辆须在检查站前完全停车，驾驶员摇下车窗接受检查。门卫需核实车辆通行证，无通行证车辆须登记车牌号、驾驶员信息、事由。使用车底检查镜对车辆底部进行检查，使用后视镜检查车内情况。对后备箱须要求打开检查，核对携带物品与出门条是否一致。检查完毕后抬杆放行，记录通行时间。整个过程须在监控覆盖区域内完成。
security_duty,遇到无证人员强行闯入门卫怎么办？,遇到无证人员强行闯入时，门卫应当：第一，立即口头警告对方停止并表明身份；第二，迅速关闭大门或通道，利用道闸、路障等设施进行物理阻拦；第三，立即通过对讲机向班长和监控中心报告，说明闯入人员特征、方向和人数；第四，启动录像设备固定证据；第五，班长接到报告后2分钟内赶赴现场处置；第六，如闯入人员携带危险物品或具有暴力倾向，立即拨打110报警并启动应急预案。
security_duty,访客证件管理制度是怎样的？,访客证件管理实行一人一证、当日有效的原则。访客到达时，门卫在登记系统中录入信息后发放带编号的访客证，访客证须全程佩戴在胸前显眼位置。访客离开时须将访客证交回门卫注销，遗失须赔偿工本费20元。访客证分为白色（普通访客）、蓝色（商务来访）、黄色（施工维修）三种颜色，不同颜色对应不同活动区域权限。每日下班前门卫须统计当日访客数量并上报。
security_duty,巡逻路线是怎么制定的？多久调整一次？,巡逻路线由项目经理会同客户单位安全部门根据区域风险等级共同制定。制定原则：重点部位（如财务室、机房、仓库）必到，监控盲区必到，偏僻角落必到，消防通道必到。路线设计采用不走重复路的环形路线，确保覆盖率达100%。巡逻路线每3个月评估调整一次，遇有重大活动或安全形势变化时随时调整。巡逻路线信息属于内部保密资料，严禁向无关人员透露。
security_duty,巡逻过程中需要做好哪些记录？,巡逻人员须携带巡逻记录本，每到一处打卡点须使用电子巡更棒打卡并手工记录。记录内容包括：巡逻时间（精确到分钟）、巡逻人姓名及编号、到达各打卡点时间、发现的异常情况（如设施损坏、可疑人员、安全隐患等）、处理措施及结果。每次巡逻结束后30分钟内将记录交班长审阅签字。电子巡更数据每周导出一次，由项目经理存档备查，保存期限不少于12个月。
security_duty,夜间巡逻有什么特殊要求？,夜间巡逻（22:00至次日6:00）有以下特殊要求：必须双人编组巡逻，严禁单人行动；巡逻间隔不超过1小时；巡逻时须携带强光手电、对讲机和防暴叉；经过照明不良区域时须先观察再通过；每30分钟向监控中心报告位置和情况；发现可疑情况时一人监视一人报告；重点关注围墙周边、停车场、设备间等区域。夜间巡逻人员额外享受夜班补贴每班次15元。
security_duty,电子巡更系统出现故障怎么处理？,电子巡更系统出现故障时，巡逻人员应当在到达每个打卡点时使用纸质记录方式替代，记录到达时间和位置，并由同组巡逻人员互相签字确认。同时立即向班长报告故障情况，班长通知技术人员在1小时内到场检修。故障修复后，班长须核实故障期间的巡逻记录是否完整并签字确认。故障超过4小时无法修复的，须启用备用巡更设备，备用设备存放在监控中心保险柜内。
security_duty,交接班的具体流程是什么？,交接班须在岗位现场进行，提前15分钟到达交接。流程如下：第一，交接双方共同检查岗位设施设备是否完好，包括对讲机、监控设备、门禁系统、消防器材等；第二，交班人员说明本班次发生的情况和未完成事项；第三，双方共同检查岗位记录本是否填写完整；第四，清点器材数量并确认完好状态；第五，双方在交接记录本上签字确认；第六，交班人员方可离开岗位。如接班人员未到，交班人员不得离岗，须立即向班长报告。
security_duty,交接班时发现器材损坏怎么处理？,交接班时发现器材损坏，接交方应当场拒绝接收并在交接记录上注明情况。交班方须立即向班长报告，由班长在15分钟内到场核实处理。损坏器材须填写《器材损坏报告单》，注明损坏时间、原因、损坏程度。如属人为损坏，由责任人承担赔偿责任，按器材原价的50%-100%赔偿。在损坏器材未修复或未配发替代品之前，该岗位须增派人员加强值守。
security_duty,交接班时正好遇到突发事件怎么办？,交接班时遇到突发事件，交班人员必须继续履行职责，接班人员立即协助参与处置，不得以交接未完成为由推诿。待事件处置完毕或态势稳定后，再继续完成交接程序。处置过程中，交班人员为现场主处置人，接班人员为协助人。事后双方须分别撰写事件报告，详细记录各自参与处置的过程和采取的措施。
security_duty,发现可疑人员在目标区域徘徊应该怎么处置？,发现可疑人员应遵循观察、报告、跟踪、处置四步流程。首先保持安全距离观察可疑人员的外貌特征、行为举止和携带物品；其次立即通过对讲机向班长和监控中心报告，说明具体位置和可疑行为；然后在确保安全的前提下持续跟踪监视，防止其进入核心区域；最后由班长带领处置人员到场盘问，查验身份证件。如对方拒不配合或发现违法证据，立即控制现场并报警。全程须保持录像取证。
